organism,gene,uniprot_id
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),helR,A0QUE0
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),carD,P9WJG3
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),carD,A0R561
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),rbpA,A0QZ11
Escherichia coli,mcr1,A0A0R6L508
Escherichia coli,mcr2,A0A1C3NEV1
Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),gyrA,P9WG47
Escherichia coli (strain K12),gyrA,P0AES4
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),parC,P72525
Streptococcus pyogenes serotype M1,gyrA,Q9L7Q5
Escherichia coli (strain K12),gyrB,P0AES6
Streptococcus pyogenes serotype M1,parC,Q9L7Q4
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),atpB,P0A2Y8
Escherichia coli,cat3,P00484
Staphylococcus aureus,Chloramphenicol,P36883
Campylobacter coli,Chloramphenicol,P22782
Escherichia coli,cmlA,P22615
Streptomyces acrimycini,cat,P20074
Staphylococcus aureus,cat,P06135
Staphylococcus intermedius,cat,P25309
Staphylococcus aureus,cat,P36882
Haemophilus influenzae,cat-IIH,P22616
Clostridioides difficile,catD,P11504
Clostridium butyricum,catB,Q02736
Staphylococcus aureus,cat,P00486
Streptococcus agalactiae,cat,Q03058
Clostridium perfringens,catQ,P26825
Clostridium perfringens,catP,P26826
Clostridium perfringens,tetP,Q46306
Escherichia coli (strain K12),folP,P0AC13
Neisseria meningitidis serogroup C,folP,P57696
Streptococcus pneumoniae (strain ATCC BAA-255 / R6),sulA,P59655
Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),folP,Q51161
Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491),folP,Q9JT70
Staphylococcus aureus,folP,O05701
Escherichia coli,sul3,C0HMD9
Escherichia coli,sul2,P0AC11
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),sulA,P05382
Mycolicibacterium fortuitum,sulI,Q49184
Streptococcus pyogenes,folP,P0C0G0
Streptococcus pyogenes,folB,P0C0G4
Streptococcus pyogenes,folE,P0C0C1
Streptococcus pyogenes,folK,P0C0G2
